1,2
-48.5,-48
-48.5,-47.5
-48.5,-47
-47,-46
-45.5,-45
-43.5,-43.5
-42.5,-43
-43,-43.5
-44,-44.5
-45.5,-45.5
-47,-46.5
-48.5,-47.5
-48.5,-47.5
-47.5,-47.5
-47,-47
-46.5,-47
-46.5,-47
-46.5,-47
-47,-47
-47.5,-47.5
-48.5,-47.5
-48,-47
-46.5,-46
-45,-45.5
-44,-44.5
-44,-44.5
-45,-45
-46,-46
-47.5,-46.5
-48,-47
-48.5,-47
-47.5,-47
-47,-46.5
-46.5,-46.5
-47,-47
-47,-47
-47,-47
-48.5,-47.5
-48.5,-47.5
-48,-47
-47,-46
-45,-45.5
-44.5,-45
-44.5,-45.5
-45.5,-45.5
-46,-46.5
-48,-47
-48.5,-47
-48.5,-47.5
-47.5,-47
-46.5,-46.5
-47,-47
-47,-47
-47,-47
-47.5,-47.5
-48.5,-47.5
-48.5,-47.5
-47.5,-47
-46,-46
-45,-45.5
-44,-45
-44.5,-45.5
-45.5,-46
-46.5,-46.5
-48,-47
-49,-47.5
-48.5,-47.5
-47.5,-47
-47,-47
-47,-47
-47,-47
-47,-47
-47.5,-47
-48.5,-48
-49.5,-48
-48.5,-47
-46.5,-46
-45,-45
-44,-44.5
-44,-45
-44.5,-45.5
-46,-46
-47.5,-47
-49,-47.5
-48.5,-47.5
-47.5,-47.5
-47,-47.5
-47,-47.5
-47,-47.5
-47,-47
-47.5,-47.5
-48,-47.5
-48.5,-47.5
-47.5,-46.5
-46,-46
-44.5,-45.5
-44.5,-45
-44.5,-45.5
-46,-46
-47,-46.5
-48.5,-47
-48.5,-47.5
-47.5,-47.5
-47,-47
-47,-47
-47,-46.5
-47,-47
-47.5,-47.5
-48,-47.5
-49,-48
-48.5,-47.5
-47,-47.5
-46,-47
-45,-46
-44.5,-46
-45,-46.5
-46,-47
-47.5,-47.5
-48.5,-47.5
-48.5,-47.5
-48,-47.5
-47,-47.5
-47,-47
-47,-47
-47,-47
-47,-47.5
-48,-48
-48.5,-48
-49,-48
-47.5,-47.5
-46.5,-47
-45,-46.5
-44.5,-46
-45,-46.5
-45.5,-47
-47,-47.5
-48,-47.5
-49,-48
-48.5,-48
-47.5,-48
-47,-47.5
-47,-47.5
-47,-47.5
-47,-47.5
-47,-48
-48,-48.5
-49,-48.5
-49,-48.5
-48,-47.5
-46.5,-47
